,x,y,from,to,distance
0,-0.118159357,2.166545,10,12,0.03281662001627954
1,-0.264604994,2.105242,7,11,0.05703394255006598
2,-0.072829535,1.716803,2,6,0.08060430895541879
3,-0.569225757,1.943598,4,5,0.11944509594580272
4,-0.009270527,1.942413,5,6,0.1345046816758147
5,0.037697969,1.83259,7,9,0.14293341275763005
6,-0.09150911,1.795213,0,1,0.15875888134317326
7,-1.097338236,1.871078,9,13,0.16993337516492113
8,-0.841400898,2.194585,0,4,0.2491825249145072
9,-1.081888729,1.728982,7,12,0.27882016955180794
10,-1.366334073,2.003965,1,3,0.3448515506514393
11,-1.081078171,1.925745,8,11,0.3601668235591897
12,-1.357063682,1.972485,3,8,0.3702347654493968
13,-0.913706515,1.753315,1,1,0.0
